编号,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15
1,男,46-55岁,大专,灵活就业,服务业,民营企业,5000-8000元,不适用,未参加任何保险,比较满意,未参加,自主创业,否,5天,了解
2,女,36-45岁,初中及以下,未就业,不适用,不适用,3000-5000元,不适用,未参加任何保险,非常不满意,城乡居民基本养老保险,不适用,否,不适用,不了解
3,女,16-25岁,本科,在校学生,不适用,不适用,3000元以下,未签订合同,基本医疗保险,不适用,未参加,亲友介绍,否,1-2天,听说过
4,女,16-25岁,本科,灵活就业,批发零售,个体工商户,5000-8000元,未签订合同,基本医疗保险,比较满意,城乡居民基本养老保险,亲友介绍,否,6天,听说过
5,女,56岁及以上,高中/中专,灵活就业,餐饮住宿,个体工商户,3000元以下,未签订合同,基本养老保险、基本医疗保险,比较满意,未参加,其他,是,6天,听说过
6,男,16-25岁,高中/中专,在校学生,不适用,不适用,父母支持,不适用,基本医疗保险,不适用,未参加,不适用,否,不适用,不了解
7,女,36-45岁,大专,灵活就业,信息技术,民营企业,3000-5000元,不适用,未参加任何保险,一般,城乡居民基本养老保险,网络招聘,是,6天,听说过
8,男,56岁及以上,大专,灵活就业,批发零售,民营企业,3000-5000元,不适用,未参加任何保险,一般,未参加,自主创业,是,7天,了解
9,女,36-45岁,本科,灵活就业,其他,其他,8000-12000元,不适用,基本养老保险、基本医疗保险,非常满意,商业养老保险,公共人力资源服务机构,否,5天,了解
10,男,56岁及以上,初中及以下,灵活就业,信息技术,民营企业,3000元以下,不适用,未参加任何保险,非常不满意,未参加,亲友介绍,是,5天,听说过
11,女,46-55岁,硕士及以上,灵活就业,服务业,民营企业,12000元以上,不适用,未参加任何保险,比较满意,城乡居民基本养老保险,亲友介绍,否,6天,不了解
12,男,36-45岁,高中/中专,未就业,不适用,不适用,3000元以下,不适用,基本医疗保险,一般,未参加,不适用,是,不适用,听说过
13,男,36-45岁,本科,在职,服务业,外资企业,5000-8000元,已签订固定期合同,未参加任何保险,比较满意,未参加,公共人力资源服务机构,否,5天,了解
14,女,26-35岁,大专,在职,农林牧渔,民营企业,3000-5000元,已签订无固定期合同,基本医疗保险,一般,未参加,公共人力资源服务机构,否,7天,了解
15,男,56岁及以上,本科,灵活就业,农林牧渔,民营企业,5000-8000元,不适用,基本医疗保险,非常满意,城乡居民基本养老保险,网络招聘,是,5天,听说过
16,男,36-45岁,高中/中专,在职,信息技术,民营企业,5000-8000元,未签订合同,基本医疗保险,比较满意,未参加,自主创业,否,6天,不了解
17,女,16-25岁,大专,在校学生,不适用,不适用,3000元以下,未签订合同,基本医疗保险,不适用,未参加,亲友介绍,否,3-4天,了解
18,女,26-35岁,大专,灵活就业,服务业,民营企业,3000-5000元,未签订合同,基本医疗保险,非常不满意,城乡居民基本养老保险,亲友介绍,否,6天,了解
19,女,46-55岁,大专,在职,服务业,民营企业,5000-8000元,已签订固定期合同,基本养老保险、基本医疗保险,不太满意,未参加,亲友介绍,是,5天,了解
20,男,56岁及以上,大专,灵活就业,服务业,个体工商户,5000-8000元,不适用,未参加任何保险,不太满意,城乡居民基本养老保险,网络招聘,否,7天,不了解
21,女,56岁及以上,本科,自营个体,服务业,个体工商户,8000-12000元,不适用,基本医疗保险,比较满意,商业养老保险,公共人力资源服务机构,否,6天,不了解
22,女,26-35岁,初中及以下,自营个体,其他,个体工商户,5000-8000元,不适用,基本医疗保险,比较满意,未参加,公共人力资源服务机构,否,6天,了解
23,男,16-25岁,大专,自营个体,服务业,个体工商户,3000-5000元,不适用,基本医疗保险,比较满意,商业养老保险,网络招聘,是,7天,听说过
24,女,26-35岁,大专,在职,制造业,民营企业,5000-8000元,已签订无固定期合同,基本养老保险、基本医疗保险,比较满意,未参加,亲友介绍,否,6天,听说过
25,女,36-45岁,大专,在职,医疗卫生,机关事业单位,5000-8000元,已签订固定期合同,基本养老保险、基本医疗保险、失业保险、工伤保险,不太满意,城镇职工基本养老保险,网络招聘,否,5天,不了解
26,女,56岁及以上,本科,在职,服务业,其他,12000元以上,已签订固定期合同,基本养老保险、基本医疗保险,比较满意,城乡居民基本养老保险,亲友介绍,否,7天,听说过
27,男,56岁及以上,大专,在职,信息技术,其他,8000-12000元,未签订合同,未参加任何保险,比较满意,城镇职工基本养老保险,网络招聘,否,5天,听说过
28,女,46-55岁,初中及以下,在职,教育,民营企业,5000-8000元,已签订固定期合同,未参加任何保险,比较满意,城乡居民基本养老保险,公共人力资源服务机构,否,5天,不了解
29,男,36-45岁,高中/中专,在职,批发零售,个体工商户,3000元以下,未签订合同,基本医疗保险,非常不满意,城镇职工基本养老保险,自主创业,是,6天,听说过
30,男,26-35岁,本科,在校学生,不适用,不适用,父母支持,不适用,基本医疗保险,不适用,未参加,不适用,是,不适用,听说过
